,dcc_mean_pairwise_corr
2008-01-03,0.338594959290632
2008-01-04,0.33177051013742903
2008-01-07,0.30856551183451764
2008-01-08,0.3124576465421908
2008-01-09,0.2809022727924411
2008-01-10,0.2787325227247036
2008-01-11,0.27730270590194517
2008-01-14,0.2940761893032559
2008-01-15,0.29282567288106165
2008-01-16,0.3005453553005874
2008-01-17,0.2976735104702134
2008-01-18,0.29453197375620854
2008-01-21,0.2895414836546456
2008-01-22,0.29935238235803807
2008-01-23,0.3027354264816637
2008-01-24,0.3107934963774877
2008-01-25,0.31126283709969654
2008-01-28,0.3057483999500382
2008-01-29,0.3118073804554262
2008-01-30,0.3061525301443428
2008-01-31,0.3123954406012787
2008-02-01,0.30703426444445603
2008-02-04,0.28647024288381606
2008-02-05,0.2052814038919232
2008-02-06,0.23946781196235206
2008-02-07,0.24455355264000483
2008-02-08,0.24718494098407112
2008-02-11,0.24239557104841564
2008-02-12,0.23863552397353355
2008-02-13,0.23124997184395885
2008-02-14,0.22461717602639286
2008-02-15,0.23229891738652916
2008-02-18,0.2268475309656038
2008-02-19,0.22910251008574872
2008-02-20,0.2333097516844087
2008-02-21,0.22718648147810558
2008-02-22,0.23167704085845955
2008-02-25,0.23776964284991814
2008-02-26,0.24040052680923374
2008-02-27,0.24596332617548536
2008-02-28,0.2504176753121067
2008-02-29,0.2496760822057021
2008-03-03,0.2479924980189379
2008-03-04,0.24256653211814996
2008-03-05,0.24277157192982787
2008-03-06,0.24147986842743788
2008-03-07,0.25504877389231134
2008-03-10,0.2579563649936462
2008-03-11,0.2591331032292329
2008-03-12,0.24323740863097304
2008-03-13,0.24661089759740343
2008-03-14,0.2434055711966577
2008-03-17,0.24879422962486206
2008-03-18,0.24833605688533353
2008-03-20,0.24969793630685225
2008-03-25,0.26832973913380814
2008-03-26,0.2620643874014153
2008-03-27,0.24881003778115432
2008-03-28,0.25188855917308145
2008-03-31,0.2679840138717874
2008-04-01,0.24308050185698066
2008-04-02,0.22163768809480588
2008-04-03,0.2253403414070357
2008-04-04,0.23796540951073214
2008-04-07,0.23475296556724673
2008-04-08,0.23913580266218037
2008-04-09,0.24517064931517146
2008-04-10,0.2298757859314488
2008-04-11,0.23600801639746943
2008-04-14,0.22789186268191167
2008-04-15,0.239673242733038
2008-04-16,0.2477378786239955
2008-04-17,0.2574948393913624
2008-04-18,0.2613788992973124
2008-04-21,0.253972031172829
2008-04-22,0.2550208975274014
2008-04-23,0.2598056001056399
2008-04-24,0.26395937164610056
2008-04-25,0.26638481533624814
2008-04-28,0.25223074348315855
2008-04-29,0.24943228516935134
2008-04-30,0.2454270402336885
2008-05-02,0.2555348576142741
2008-05-05,0.2458667396665329
2008-05-06,0.20635737823980138
2008-05-07,0.2888446291174322
2008-05-08,0.33630109925310714
2008-05-09,0.3342558156666975
2008-05-12,0.33365992371119296
2008-05-13,0.3332517265471121
2008-05-14,0.3222493453396183
2008-05-15,0.3210824192270694
2008-05-16,0.32321519559570094
2008-05-19,0.32295877635304127
2008-05-20,0.34263676421100014
2008-05-21,0.3425518004234629
2008-05-22,0.3425737672513085
2008-05-23,0.33493906989677863
2008-05-26,0.32391210346321025
2008-05-27,0.32309522199596696
2008-05-28,0.32489507989671385
2008-05-30,0.338792146396515
2008-06-02,0.34985856001591237
2008-06-03,0.3318118057650251
2008-06-04,0.3346018449495656
2008-06-05,0.357761540298999
2008-06-06,0.3535921629645685
2008-06-09,0.36826776349942325
2008-06-10,0.3663597190656894
2008-06-11,0.32029103508855367
2008-06-12,0.3435786602982277
2008-06-13,0.34615149408532353
2008-06-16,0.34563233691840767
2008-06-17,0.3910759580843603
2008-06-18,0.3514348547396974
2008-06-19,0.3541838115973359
2008-06-20,0.34786741766918894
2008-06-23,0.32767590087520465
2008-06-24,0.31590634580330984
2008-06-25,0.3168438712839746
2008-06-26,0.3130881720776982
2008-06-27,0.3190293384143564
2008-06-30,0.32123386357595385
2008-07-01,0.34630014677951876
2008-07-02,0.35207799649605526
2008-07-03,0.35049964966719216
2008-07-04,0.34225409376986204
2008-07-07,0.3383361760510931
2008-07-08,0.33354659919337637
2008-07-09,0.33599318140736845
2008-07-10,0.3228303115451494
2008-07-11,0.3236023158299055
2008-07-14,0.2863739115975591
2008-07-15,0.28175237195086245
2008-07-16,0.29247125623645776
2008-07-17,0.31342458716162236
2008-07-18,0.31251806394410037
2008-07-21,0.31188187275815765
