,R1_GFC,R2_oilcrash,R3_COVID,R4_postunification
FIRSTBANK,0.619675868319188,0.4834494914558969,0.5690505146570378,0.17747287043139626
GTB,0.044672653792260805,0.3544241611647423,0.30162318848535824,0.5107118218960303
ZENITH,0.4524054347242053,0.3838847565162247,0.4564825624827511,0.43489704334784146
ACCESS,0.09877200477893677,0.20814205502929187,0.4056492246508724,0.4687864794505595
UBA,0.6321230781501097,0.6707976459681158,0.4607356515680262,0.5466082816863774
