,FIRSTBANK,GTB,ZENITH,ACCESS,UBA
FIRSTBANK,,-0.008486973243405973,-0.011462549930060312,-0.010044888593817271,-0.02415475220397722
GTB,-0.011612403353814835,,-0.013669933000429993,-0.009785314900923391,-0.018001938454836906
ZENITH,-0.012838278331232729,-0.00838580270270565,,-0.009142861802171992,-0.019051891032549197
ACCESS,-0.012584175986093227,-0.005812436327396013,-0.008851040547987169,,-0.020399362058194866
UBA,-0.010002102514518458,-0.007423202860580238,-0.011285399519299041,-0.010083505525678405,
