date,brent
2008-01-01,92.09173913043478
2008-02-01,94.72238095238095
2008-03-01,103.16190476190480
2008-04-01,110.03318181818180
2008-05-01,123.86227272727270
2008-06-01,132.76047619047620
2008-07-01,133.58521739130430
2008-08-01,113.80047619047620
2008-09-01,98.75545454545455
2008-10-01,71.96347826086957
2008-11-01,52.71350000000000
2008-12-01,40.51173913043478
2009-01-01,43.17454545454545
2009-02-01,42.91050000000000
2009-03-01,46.58272727272727
2009-04-01,50.51909090909091
2009-05-01,57.50142857142857
2009-06-01,68.58000000000000
2009-07-01,64.90434782608696
2009-08-01,72.59190476190476
2009-09-01,67.51318181818182
2009-10-01,72.96863636363636
2009-11-01,76.93666666666667
2009-12-01,74.78956521739130
2010-01-01,76.60238095238095
2010-02-01,73.90300000000000
2010-03-01,79.51913043478261
2010-04-01,85.15636363636364
2010-05-01,76.13238095238095
2010-06-01,75.24636363636364
2010-07-01,75.19500000000000
2010-08-01,76.89181818181818
2010-09-01,77.93818181818182
2010-10-01,83.33857142857143
2010-11-01,85.80090909090909
2010-12-01,91.96000000000000
2011-01-01,96.95238095238095
2011-02-01,104.23850000000000
2011-03-01,114.91739130434780
2011-04-01,123.32571428571430
2011-05-01,114.92954545454550
2011-06-01,114.37045454545450
2011-07-01,117.48333333333330
2011-08-01,110.35478260869570
2011-09-01,111.96272727272730
2011-10-01,110.42952380952380
2011-11-01,111.15863636363640
2011-12-01,108.34772727272730
2012-01-01,111.41500000000000
2012-02-01,119.16571428571430
2012-03-01,124.70318181818180
2012-04-01,120.47000000000000
2012-05-01,110.82217391304350
2012-06-01,95.88904761904762
2012-07-01,102.97954545454550
2012-08-01,113.78043478260870
2012-09-01,113.64150000000000
2012-10-01,111.79260869565220
2012-11-01,109.91181818181820
2012-12-01,109.56904761904760
2013-01-01,112.52782608695650
2013-02-01,116.48800000000000
2013-03-01,109.58571428571430
2013-04-01,102.96000000000000
2013-05-01,102.98043478260870
2013-06-01,103.35850000000000
2013-07-01,107.77956521739130
2013-08-01,111.05818181818180
2013-09-01,111.96285714285710
2013-10-01,109.61869565217390
2013-11-01,108.15047619047620
2013-12-01,111.07045454545450
2014-01-01,107.92695652173910
2014-02-01,108.83800000000000
2014-03-01,107.86809523809520
2014-04-01,108.00363636363640
2014-05-01,109.83227272727270
2014-06-01,112.24095238095240
2014-07-01,107.46260869565220
2014-08-01,102.40190476190480
2014-09-01,97.85272727272727
2014-10-01,87.58478260869565
2014-11-01,79.22950000000000
2014-12-01,62.90391304347826
2015-01-01,48.93318181818182
2015-02-01,58.25400000000000
2015-03-01,56.52454545454545
2015-04-01,59.82636363636364
2015-05-01,65.19380952380952
2015-06-01,62.62000000000000
2015-07-01,56.82956521739130
2015-08-01,47.53380952380952
2015-09-01,48.03045454545455
2015-10-01,48.90636363636364
2015-11-01,45.09523809523810
2015-12-01,38.52521739130435
2016-01-01,32.04523809523810
2016-02-01,33.76238095238095
2016-03-01,39.79217391304348
2016-04-01,43.33047619047619
2016-05-01,47.73500000000000
2016-06-01,49.87727272727273
2016-07-01,46.59857142857143
2016-08-01,47.05217391304348
2016-09-01,47.37681818181818
2016-10-01,51.41380952380952
2016-11-01,46.94227272727273
2016-12-01,55.02272727272727
2017-01-01,55.71090909090909
2017-02-01,56.09600000000000
2017-03-01,52.65521739130435
2017-04-01,53.97800000000000
2017-05-01,51.37434782608696
2017-06-01,47.65272727272727
2017-07-01,49.25333333333333
2017-08-01,51.92782608695652
2017-09-01,55.55761904761905
2017-10-01,57.53636363636364
2017-11-01,62.83636363636364
