date,FIRSTBANK,GTB,ACCESS,ZENITH,UBA
2012-01-23,,,,,
2012-01-24,,,,-0.003338901265514598,
2012-01-25,,,,0.0033389012655146303,
2012-01-26,,,,0.0016652793190612488,
2012-01-27,,,,0.006633523495633877,
2012-01-30,,,,-0.007465816510803229,
2012-01-31,,,,0.035980986818824306,
2012-02-01,0.04807203128399123,,,-0.035980986818824466,
2012-02-02,0.0047778399537132974,,,0.013234270907543538,
2012-02-03,0.001904762480653882,,,0.01872256561155536,
2012-02-07,-0.018243424835443053,,,0.0,
2012-02-08,-0.026511125548331852,,,-0.018722565611555383,
2012-02-09,0.007928683755507263,-0.030570066084678004,,0.006552029991300114,
2012-02-10,0.0029571238897438627,0.012486390651382458,,0.0024459857282604423,
2012-02-13,-0.01587334915629012,0.0,,-0.002445985728260414,
2012-02-14,0.04879016416943204,0.025938053548439713,,0.0,
2012-02-15,0.0009519277253821558,-0.0007114906027640492,,-0.0016339872916550239,
2012-02-16,0.009469767737031993,0.00921012532422666,,0.0024499808089842798,
2012-02-17,0.013108801947780148,0.0021134210050279363,,0.00162999221093097,
2012-02-20,0.01660554761477538,-0.012035543511344338,,-0.002445985728260414,
2012-02-21,0.03946700557399746,-0.0014255169912209499,,0.006509380185517016,
2012-02-22,0.011368727606759759,0.005689915777678676,,0.013693327132002456,
2012-02-23,0.04837599974023578,-0.0071174677688639896,,0.04840913920768741,
2012-02-24,0.018876227268931615,0.007117467768863955,,0.017378601330315595,
2012-02-27,-0.041499730906752734,0.003539826705123987,,-0.004504512121104653,
2012-02-28,-0.05129329438755046,0.004231318019762624,,-0.0067950431328288015,
2012-02-29,-0.03818645781402543,-0.010612055726490459,,0.009800304598292276,
2012-03-01,0.029225824381495295,0.003549879482203777,0.020590981443927153,0.013413017781490084,
2012-03-02,0.024890173807552343,0.009873140849936941,0.018843087801479915,0.03919224380764727,
2012-03-05,0.017406879892569425,0.009081445578241214,-0.004008021397538822,-0.016505577440231015,
2012-03-06,-0.02977452870123124,0.015183176421390027,-0.040989344533196886,-0.012377296708555143,
2012-03-07,0.0008884940611152349,0.004101167744214607,-0.026856737837247787,0.0007323325116752631,-0.05092009042725675
2012-03-08,-0.017921626617355562,-0.010974047031976675,-0.020261185139822082,0.01741698599400218,-0.04972343535243062
2012-03-09,-0.00543972329581821,-0.004146515961848577,-0.02068020523753863,-0.024764557624396565,-0.019802627296179643
2012-03-12,-0.004555816535860802,0.009648593115831937,0.005952398527295352,0.011001211061973583,0.050693114315518165
2012-03-13,-0.03248545514448831,-0.022893819865852507,-0.0455313848079534,-0.03715137503998912,-0.023077947282544725
2012-03-14,-0.00947874395454377,-0.017699577099400975,-0.014073727211662078,-0.0045523599104604125,0.0
2012-03-15,-0.03883983331626401,0.0035650661644961446,-0.03852803972109621,-0.018419553765222425,-0.04781787435049264
